,Number,Name_of_Covered_Entity,latitude,longitude,State,Business_Associate_Involved,Individuals_Affected,Date_of_Breach,Type_of_Breach,Location_of_Breached_Information,Date_Posted_or_Updated,Summary,breach_start,breach_end,year
419,418,Cleveland Clinic Florida,27.664827,-81.515754,FL,,772,10/3/2011,Loss,Other,2014-04-23,,2011-10-03,NA,2011
420,419,"Jay C. Platt, DDS",40.551217,-85.602364,IN,,10705,10/6/2011,Theft,Other,2014-03-24,,2011-10-06,NA,2011
421,420,Rite Aid Corporation ,41.203322,-77.194525,PA,,2900,10/7/2011,Other,Paper,2014-01-23,,2011-10-07,NA,2011
422,421,Advanced Occupational Medicine Specialists,40.633125,-89.398528,IL,Blue Vantage Group,7226,10/12/2011,Unauthorized Access/Disclosure,Network Server,2014-01-23,,2011-10-12,NA,2011
423,422,Open MRI of Chicago,40.633125,-89.398528,IL,Nation Wise Machine Buyers,2000,9/6/2011,Improper Disposal,Paper,2014-01-23,,2011-09-06,NA,2011
424,423,University of Nebraska Medical Center,41.492537,-99.901813,NE,,611,11/15/2011,Theft,Paper,2014-04-23,,2011-11-15,NA,2011
425,424,Roberts S. Smith M.D. Inc.,32.157435,-82.907123,GA,,17000,10/17/2011,Theft,Laptop,2014-01-23,,2011-10-17,NA,2011
426,425,"Paul C. Brown, MD, PS",47.751074,-120.740139,WA,,4693,10/14/2011 - 10/17/2011,Theft,Other,2014-02-14,,2011-10-14,2011-10-17,2011
428,427,Aegis Sciences Corporation,35.517491,-86.580447,TN,,2185,11/22/2011,Theft,"Laptop, Other Portable Electronic Device",2014-04-23,"OCR opened an investigation of the covered entity (CE), Aegis Science Corp., after the CE reported that a laptop computer and unencrypted external hard drive containing the electronic protected health information (ePHI) of 2,185 individuals were stolen from a workforce member's vehicle.  The ePHI included social security numbers, driver's license numbers, and other demographic information, as well as bank account information of fourteen individuals and credit card information of three individuals.  Upon discovering the breach, the CE filed a police report and hired a private investigator to recover the stolen items.  The CE also initiated plans to encrypt laptops, revise security procedures, retrain employees, and offer credit monitoring to affected individuals.  As a result of OCR's investigation, the CE completed a security risk analysis and risk management report and implemented new security policies and procedures to ensure adequate safeguards to protect ePHI.  The CE also provided media notification in the two localities with greater than 500 individuals affected.  Additionally, the CE encrypted all employee computers and removable media containing ePHI and retrained employees on the CE's confidentiality and security policies.",2011-11-22,NA,2011
429,428,"Soundpath Health, Inc",47.751074,-120.740139,WA,,7581,11/22/2011,Theft,Laptop,2014-02-14,,2011-11-22,NA,2011
430,429,Concentra Health,31.968599,-99.901813,TX,,870,11/30/2011,Theft,Laptop,2014-01-23,,2011-11-30,NA,2011
431,430,Sleep HealthCenters LLC,42.407211,-71.382437,MA,,2988,11/23/2011,Theft,Laptop,2014-03-13,,2011-11-23,NA,2011
432,431,Smile Designs,27.664827,-81.515754,FL,,1670,12/1/2011,Theft,"Desktop Computer, Network Server",2014-01-23,,2011-12-01,NA,2011
433,432,PBH,35.759573,-79.0193,NC,Alamance Caswell Local Management Entity,50000,11/15/2011,"Unauthorized Access/Disclosure, Other","Network Server, E-mail",2014-01-23,,2011-11-15,NA,2011
434,433,"CardioNet, Inc",41.203322,-77.194525,PA,,1300,11/10/2011,Theft,Laptop,2014-01-23,,2011-11-10,NA,2011
435,434,"MDwise, Inc.",40.551217,-85.602364,IN,RightNow Technologies,2700,2/10/2011,Unauthorized Access/Disclosure,Other,2014-03-24,,2011-02-10,NA,2011
437,436,Foundation Medical Partners,43.193852,-71.572395,NH,,771,11/19/2011 - 12/01/2011,Theft,Paper,2014-06-02,"Without permission from the covered entity (CE), an employee provided a list of patient's names to a local counseling center as the employee was leaving the CE to begin employment at the new counseling center in an attempt to coordinate care of the patients she was treating.  The list, containing the PHI of approximately 771 individuals, included names, dates of birth, addresses, phone numbers, names of the insurance carriers, and facility codes.  Following the disclosure, the CE provided breach notification to HHS, the media, and all individuals affected and sanctioned the former employee for violating its policies and procedures. The CE also changed its procedures for list management.  The CE sent a reminder to all of its health care providers regarding the handling of PHI and made plans to provide HIPAA compliance information in a quality assurance newsletter.",2011-11-19,2011-12-01,2011
439,438,Delta Dental of California,36.778261,-119.417932,CA,,11646,12/22/2011 - 12/23/2011,Other,Paper,2014-01-23,,2011-12-22,2011-12-23,2011
440,439,Muskogee Regional Medical Center,35.007752,-97.092877,OK,,844,12/5/2011,Loss,Other,2014-01-23,,2011-12-05,NA,2011
441,440,Department of Medical Assistance Services,37.431573,-78.656894,VA,"ACS, Affiliated Computer Services, Inc., A Xerox Company",1444,11/02/2011 - 11/16/2011,"Unauthorized Access/Disclosure, Other",Paper,2014-01-23,,2011-11-02,2011-11-16,2011
444,443,Flex Physical Therapy,47.751074,-120.740139,WA,,3100,12/30/2011,Theft,Desktop Computer,2014-01-23,,2011-12-30,NA,2011
445,444,Metro Community Provider Network,39.550051,-105.782067,CO,,3200,12/5/2011,"Hacking/IT Incident, Other",E-mail,2014-01-23,,2011-12-05,NA,2011
446,445,University of Miami ,27.664827,-81.515754,FL,,1219,11/24/2011,Theft,Other Portable Electronic Device,2014-01-23,,2011-11-24,NA,2011
447,446,UnitedHealth Group health plan single affiliated covered entity,46.729553,-94.6859,MN,,6678,12/15/2011,Other,Paper,2014-03-24,,2011-12-15,NA,2011
448,447,"Triumph, LLC",35.759573,-79.0193,NC,,2000,12/13/2011,Theft,Laptop,2014-01-23,,2011-12-13,NA,2011
449,448,Fairview Health Services,46.729553,-94.6859,MN,Accretive Health,14000,7/25/2011,Theft,Laptop,2014-01-23,,2011-07-25,NA,2011
450,449,Loma Linda University Medical Center (LLUMC),36.778261,-119.417932,CA,,1366,12/19/2011,Other,Paper,2014-01-23,,2011-12-19,NA,2011
451,450,Ford Motor Company Salaried Health Reimbursement Arrangement (HRA) Plan,44.314844,-85.602364,MI,"Affiliated Computer Services, Inc.  (ACS, Inc.) A Xerox Company",1700,12/29/2011,Other,Other,2014-03-24,,2011-12-29,NA,2011
452,451,"Medco Health Solutions, Inc.",40.058324,-74.405661,NJ,,1287,11/30/2011,Theft,Paper,2014-06-20," 

The covered entity (CE), Medco Health Solutions, mailed letters with incorrect addresses after a programming code in its mailing software caused corruption of its data.  The mailing contained the protected health information (PHI) of 4,341 individuals and included names, medication name and prescription number.  The CE provided breach notification to HHS, the media, and affected individuals.  Upon discovery of the breach, the CE immediately ceased using the update to its mailing software system.  As a result of OCR's investigation, the CE corrected the update to its mailing software system and established manual and automated quality control processes.  The breach incident involved a BA and occurred prior to the September 23, 2013, compliance date.  OCR verified that the CE had a proper BA agreement in place that restricted the BA's use and disclosure of PHI and required the BA to safeguard all PHI.

",2011-11-30,NA,2011
454,453,"Goshen Health System, Inc.",40.551217,-85.602364,IN,,660,12/22/2011,Hacking/IT Incident,Other,2014-01-23,,2011-12-22,NA,2011
455,454,Georgetown University Hospital,38.905985,-77.033418,DC,,1549,11/1/2011,Unauthorized Access/Disclosure,Paper,2014-01-23,,2011-11-01,NA,2011
458,457,Applegate Valley Family Medicine,43.804133,-120.554201,OR,Dr. Trandinh,2300,12/01/2011-12/17/2011,"Theft, Unauthorized Access/Disclosure",Laptop,2014-01-23,,2011-12-01,2011-12-17,2011
459,458,"CardioNet, Inc.",41.203322,-77.194525,PA,,728,12/29/2011,Theft,Laptop,2014-01-23,,2011-12-29,NA,2011
460,459,Presbyterian Healthcare Services,34.97273,-105.032363,NM,"Beth Barrett Consulting, LLC",7000,12/29/2011,Theft,Laptop,2014-03-13,,2011-12-29,NA,2011
464,463,"Jeremaih J. Twomey, F.A.C.P., P.A.",31.968599,-99.901813,TX,"Jeremaih J. Twomey, F.A.C.P., P.A.",2559,12/31/2011,Theft,Other,2014-01-23,,2011-12-31,NA,2011
465,464,Anchorage Community Mental Health Services Inc.,63.588753,-154.493062,AK,,2743,12/20/2011 - 01/04/2012,Unauthorized Access/Disclosure,Desktop Computer,2014-01-23,,2011-12-20,2012-01-04,2011
479,478,Chicago Musculoskeletal Institute/Metro Orthopedics,40.633125,-89.398528,IL,,750,12/31/2011,Other,Network Server,2014-03-24,,2011-12-31,NA,2011
483,482,UnitedHealth Group health plan single affiliated covered entity,46.729553,-94.6859,MN,,3537,6/28/2011,Unauthorized Access/Disclosure,Other,2014-03-24,,2011-06-28,NA,2011
491,490,awklein a med corp,36.778261,-119.417932,CA,David Charles Rish,2000,2/1/2011,Theft,Other,2014-01-23,,2011-02-01,NA,2011
494,493,Rhinebeck Health Center/Center for Progressive Medicine,43.299428,-74.217933,NY,,6745,11/15/2011-12/14/2011,Theft,"Desktop Computer, Network Server",2014-06-03,"The CE's network server and two local computers were hacked and compromised by a computer virus which resulted in the disclosure of electronic protected health information (ePHI) of 6,745 individuals.  The ePHI included names, insurance numbers, diagnoses, medical histories, dates of birth, telephone numbers, and social security numbers.  Upon discovery of the breach, the CE shut down all computer and email systems to prevent unauthorized access to its network and core files.  In addition, the CE decommissioned the previously used server, deactivated the network router, disabled network access to ePHI, and discontinued the previously utilized backup.  As a result of OCR's investigation, the CE deployed a new real-time firewall and intrusion detection system and implemented new measures for software management.  In addition, the CE installed a new network server, deployed a new router with security subscription to actively monitor internal network traffic and external threat patterns, and implemented a centralized antivirus software system.",2011-11-15,2011-12-14,2011
495,494,Memorial Healthcare System,27.664827,-81.515754,FL,,9497,08/01/2011 - 02/12/2012,Other,Other,2014-01-23,,2011-08-01,2012-02-12,2011
506,505,"Safe Ride Services, Inc",34.048928,-111.093731,AZ,,42000,8/31/2011,"Unauthorized Access/Disclosure, Hacking/IT Incident",Network Server,2014-01-23,,2011-08-31,NA,2011
507,506,IntraCare North Hospital,31.968599,-99.901813,TX,,750,03/15/2011 - 08/18/2011,Theft,Paper,2014-01-23,,2011-03-15,2011-08-18,2011
517,516,Fairview Health Services,46.729553,-94.6859,MN,Accretive Health,623,7/25/2011,Theft,Laptop,2014-03-24,,2011-07-25,NA,2011
519,518,UnitedHealth Group health plan single affiliated covered entity,46.729553,-94.6859,MN,,19100,06/28/2011 - 12/12/2011,Unauthorized Access/Disclosure,Other,2014-01-23,,2011-06-28,2011-12-12,2011
528,527,Independence Physical Therapy,41.603221,-73.087749,CT,,925,8/1/2011,Theft,Desktop Computer,2014-01-23,,2011-08-01,NA,2011
568,567,Memorial Healthcare System,27.664827,-81.515754,FL,,105646,01/01/2011 - 07/05/2012,Theft,Electronic Medical Record,2014-01-23,,2011-01-01,2012-07-05,2011
575,574,Sierra Plastic Surgery,38.80261,-116.419389,NV,,800,08/19/2011-09/20/2011,"Unauthorized Access/Disclosure, Hacking/IT Incident",Network Server,2014-01-23,,2011-08-19,2011-09-20,2011
593,592,"First Step Counseling, Inc.",40.058324,-74.405661,NJ,,638,05/01/2011 - 08/05/2011,Theft,Paper,2014-06-03,"Two of the covered entity's (CE) employees photocopied documents containing 638 patients' protected health information (PHI) and disclosed the documents to their attorney.  The PHI included names, insurance numbers, diagnoses, dates of birth, telephone numbers, and social security numbers.  Upon discovery of the breach, the CE hired attorneys to seek immediate return of all photocopies that contained the PHI.  The CE provided breach notification to the affected individuals, HHS and the media.  As a result of OCR's investigation, the CE transferred to an electronic billing system that is password protected and secured patient files with a lock.  Further, the front desk has been positioned by a protective window and policies have been implemented to prevent patients from standing beside the reception desk.  The CE also reviewed and revised its consent forms and retrained all staff. ",2011-05-01,2011-08-05,2011
